ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
HI,Hawaii,Computer and Mathematical Occupations,"9,960",15.740,0.53,38.36,"79,790",20.87,27.87,37.24,47.13,56.24,"43,410","57,970","77,450","98,030","116,970",,
HI,Hawaii,Computer and Information Research Scientists,130,0.207,1.06,50.71,"105,490",33.95,43.57,50.53,56.02,63.30,"70,610","90,630","105,100","116,520","131,660",,
ID,Idaho,Computer and Information Systems Managers,"1,260",1.841,0.72,50.80,"105,660",27.83,35.06,45.15,59.57,78.43,"57,880","72,930","93,920","123,910","163,140",,
ID,Idaho,Computer and Mathematical Occupations,"14,110",20.577,0.69,33.76,"70,210",15.51,21.83,31.87,43.50,56.12,"32,250","45,400","66,290","90,470","116,740",,
ID,Idaho,Computer and Information Research Scientists,140,0.199,1.01,*,*,*,*,*,*,*,*,*,*,*,*,,
IL,Illinois,Computer and Information Systems Managers,"15,470",2.610,1.02,65.93,"137,140",37.90,49.82,62.62,78.06,97.27,"78,840","103,630","130,260","162,370","202,320",,
IL,Illinois,Computer and Mathematical Occupations,"172,680",29.130,0.97,41.74,"86,820",21.06,29.46,40.13,52.42,63.42,"43,800","61,280","83,470","109,040","131,910",,
IL,Illinois,Computer and Information Research Scientists,590,0.099,0.51,58.32,"121,310",36.81,45.19,55.12,68.12,79.12,"76,560","94,000","114,650","141,680","164,560",,
IN,Indiana,Computer and Information Systems Managers,"4,710",1.560,0.61,57.00,"118,560",33.48,41.59,52.43,67.36,83.90,"69,630","86,510","109,050","140,110","174,510",,
IN,Indiana,Computer and Mathematical Occupations,"57,410",19.018,0.64,34.93,"72,660",17.83,24.49,33.21,43.88,55.13,"37,100","50,940","69,080","91,260","114,670",,
IN,Indiana,Computer and Information Research Scientists,**,**,**,51.66,"107,440",30.86,38.21,48.32,60.86,75.31,"64,190","79,480","100,500","126,600","156,640",,
IA,Iowa,Computer and Information Systems Managers,"3,690",2.404,0.94,58.78,"122,260",37.58,47.83,57.57,68.38,79.30,"78,160","99,490","119,750","142,240","164,940",,
IA,Iowa,Computer and Mathematical Occupations,"35,150",22.894,0.77,36.87,"76,700",19.41,26.29,35.58,45.86,56.15,"40,370","54,690","74,000","95,380","116,800",,
KS,Kansas,Computer and Information Systems Managers,"2,940",2.145,0.84,58.26,"121,180",33.72,43.30,56.11,70.34,86.08,"70,140","90,050","116,710","146,300","179,040",,
KS,Kansas,Computer and Mathematical Occupations,"35,900",26.219,0.88,35.59,"74,020",18.36,24.12,33.40,45.31,57.57,"38,200","50,160","69,460","94,250","119,740",,
KS,Kansas,Computer and Information Research Scientists,100,0.074,0.38,43.21,"89,880",32.94,36.00,41.82,50.85,57.36,"68,520","74,880","86,990","105,770","119,310",,
KY,Kentucky,Computer and Information Systems Managers,"2,500",1.334,0.52,56.58,"117,680",29.75,38.71,52.95,69.09,86.98,"61,880","80,510","110,140","143,710","180,910",,
KY,Kentucky,Computer and Mathematical Occupations,"31,120",16.584,0.55,33.07,"68,790",16.61,22.56,31.38,41.64,52.45,"34,540","46,930","65,270","86,600","109,100",,
LA,Louisiana,Computer and Information Systems Managers,"1,940",1.022,0.40,51.14,"106,380",28.89,37.08,47.66,58.88,74.56,"60,090","77,120","99,130","122,460","155,080",,
LA,Louisiana,Computer and Mathematical Occupations,"20,000",10.516,0.35,30.63,"63,700",16.08,21.09,28.13,37.99,48.54,"33,440","43,860","58,510","79,020","100,970",,
ME,Maine,Computer and Information Systems Managers,"1,310",2.178,0.85,55.83,"116,120",34.62,42.95,53.89,64.79,82.53,"72,020","89,330","112,090","134,770","171,660",,
ME,Maine,Computer and Mathematical Occupations,"11,370",18.969,0.63,35.98,"74,830",20.91,26.25,33.61,43.74,53.31,"43,490","54,590","69,910","90,970","110,890",,
MD,Maryland,Computer and Information Systems Managers,"9,920",3.723,1.45,72.38,"150,540",44.36,55.90,70.32,81.01,#,"92,270","116,280","146,260","168,500",#,,
MD,Maryland,Computer and Mathematical Occupations,"124,630",46.776,1.56,47.60,"99,010",24.11,32.79,46.08,59.31,74.02,"50,150","68,190","95,840","123,360","153,970",,
