,avg_n_pos_per_prev_tenure,avg_pos_len,avg_prev_tenure_len,c_name,n_pos,n_prev_tenures,tenure_len,age,beauty,blur,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise,ethnicity,face_quality,gender,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_mask,mouth_open,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain,smile,nationality,n_followers
41656,1,1734,1612,CPD Sistemas,1,1,1734,33,68.157,0.366,0.001,0.004,0.001,0.02,99.891,0.082,0.001,White,26.216,Male,None,-1.409587,-11.961929,19.055613,100,0,0,0,4.494,2.163,61.987,9.892,3.38,hispanic,3092
25488,1,2738,699,INETA,1,1,2738,47,78.336,0.36,0,0,0,100,0,0,0,White,86.593,Male,None,12.578888,0.78677243,3.86095,0,0,100,0,7.306,5.454,13.071,4.453,95.929,muslim,3091
5113,1,90,2040,STEP Consulting,1,1,90,59,44.393,0.377,0,0,0,99.996,0,0,0.004,White,72.728,Male,None,-5.49839,-5.3198395,11.792187,11.949,0,88.05,0.001,49.922,5.459,0.761,40.836,83.717,european,3087
28996,1,577,946,Microsoft,1,1,577,37,65.163,0.237,40.847,0.236,0.236,22.757,34.464,0.275,1.185,White,47.341,Male,None,-0.70551586,-7.324714,16.451235,99.997,0,0.003,0,16.543,10.248,0.993,17.765,30.445,south_asian,3086
59676,1,1430,1430,Astra Infonets Private Limited,1,1,1430,38,65.369,0.033,25.361,0.013,0.013,4.321,70.039,0.24,0.013,White,3.294,Male,None,-4.022605,-8.566303,23.831474,0.186,3.149,96.643,0.022,33.317,2.763,0.797,70.628,12.3,south_asian,3084
47920,1,486,486,themutual.net,1,1,486,35,68.697,99.809,0.003,0.015,0.003,0.03,84.18,0.003,15.765,White,0.006,Male,None,-1.4265465,-13.272201,20.532532,0,0,100,0,7.601,8.887,19.305,15.496,9.257,european,3081
17375,1,1280,1124,Optus,1,1,1280,52,44.679,0.347,0.003,0.001,0.001,99.937,0.01,0.001,0.048,White,92.711,Female,None,7.1914663,-4.411331,1.0243534,0,0,100,0,1.999,17.178,3.681,66.7,96.92,celtic_english,3073
30593,1,1216,1430,Microsoft,1,1,1216,62,45.682,0.341,0.001,0.001,0.001,99.934,0.036,0.001,0.027,White,85.687,Male,None,4.3084455,3.2367074,7.935255,0.291,0.011,99.444,0.254,80.224,53.456,2.306,96.242,52.011,european,3071
21964,3,1704,1765,Microsoft,1,1,1704,61,58.291,10.03,5.445,0.025,0.025,46.566,47.833,0.082,0.025,White,0.006,Male,Dark,-7.0956383,-17.260788,-35.959106,0.221,0,99.679,0.1,8.821,21.536,1.869,3.331,7.513,celtic_english,3065
433,1,915,1280,Jisc,1,1,915,51,63.303,0.059,0,0,0,99.984,0,0.005,0.009,White,89.683,Male,None,-11.1145935,13.374276,2.364262,0.236,97.327,2.12,0.317,0.169,5.359,56.997,0.437,88.037,celtic_english,3064
21080,1,181,457,LaSIGE - Large-Scale Informatics Systems Laboratory ,1,1,181,41,71.739,0.359,0.002,0,0,99.176,0.822,0,0,White,94.545,Male,Normal,-1.5986903,-2.8676403,0.33298278,100,0,0,0,2.522,4.471,16.643,1.92,28.266,hispanic,3061
19056,1,425,457,Microsoft Research Asia,1,1,425,37,73.855,0.059,0.001,0.001,0.001,99.926,0.005,0.001,0.066,Asian,64.119,Male,None,0.42058337,-5.495948,14.1382,0,0,100,0,19.834,3.015,1.407,39.675,82.687,east_asian,3057
22153,5,730,3987,Nokia,1,1,730,22,54.731,0.328,0,0,0,100,0,0,0,Asian,88.013,Male,None,5.7295127,0.7564253,-6.270415,0,0,100,0,8.466,2.148,5.155,4.931,96.106,european,3054
11322,1,912,1492,Yahoo! Inc.,1,1,912,37,54.977,16.715,0,0.025,0,99.974,0,0,0,White,38.05,Female,None,7.336236,-2.09638,-14.82151,0.003,0,99.992,0.004,47.213,9.099,9.314,63.437,90.666,south_asian,3051
30893,1,699,334,Symantec,1,1,699,46,48.54,0.336,0.002,0.001,0.111,99.885,0.001,0.001,0.001,Black,91.989,Male,None,8.564058,-1.9665844,1.2450137,0,0,100,0,8.371,11.688,4.841,8.622,89.771,celtic_english,3049
41949,1,1188,365,Allied Consultants,1,1,1188,46,60.442,0.38,0,0.001,0,99.998,0,0,0,White,88.14,Male,None,6.355512,-9.053079,5.967334,0.003,0,99.997,0,4.703,3.41,15.892,1.517,82.563,muslim,3042
15348,2,426,1066,WiseTech Global,1,1,426,28,60.978,0.66,0.046,0.011,0.018,79.023,20.783,0.011,0.107,Asian,57.457,Male,Normal,5.3814063,10.924872,-14.526706,0,0,100,0,58.373,37.36,0.982,47.619,44.497,east_asian,3039
34278,1,2434,2647,Fabrizio Bucarelli,1,1,2434,58,43.526,5.868,0.007,0.007,0.007,96.954,0.125,2.735,0.165,White,82.367,Male,Normal,7.3745594,-8.402939,7.2130013,0,0,100,0,2.238,12.757,6.782,13.668,94.795,european,3034
9816,1,1795,1430,The Oberoi Group,1,1,1795,54,61.435,0.31,0.002,0.002,0.089,99.878,0.001,0.001,0.027,White,8.134,Male,None,-4.5768747,-2.2265017,22.060032,0.001,0.001,99.999,0,4.195,5.025,13.898,2.345,95.448,south_asian,3033
45627,1,2160,700,Boeing,1,1,2160,43,55.504,0.795,0,0,0.002,99.997,0,0,0,White,68.88,Male,None,1.5911702,-4.108789,13.093444,0,0,100,0,0.141,3.186,13.143,2.936,20.042,celtic_english,3032
55727,1,679.3333,731,Microsoft,3,1,2038,50,57.528,0.698,0.015,45.909,0.065,0.015,40.437,13.544,0.015,White,0.006,Male,None,22.474989,13.459201,-34.41439,99.952,0,0.048,0,4.032,2.054,26.61,11.05,16.433,celtic_english,3018
10248,4,1004,3529,Nashua Mobile,1,1,1004,63,49.965,2.449,0,0,0,99.996,0.003,0,0,White,90.836,Male,None,7.2913,-7.723591,-2.6070242,0.411,1.681,2.534,95.374,94.013,20.346,0.394,74.754,89.349,celtic_english,3016
51668,1,1581,670,First Drinks,1,1,1581,50,85.499,0.339,0,0,0,0.006,99.948,0.041,0.004,White,91.225,Male,None,8.582169,-1.15085,2.2484965,100,0,0,0,0.663,4.467,29.803,0.628,2.651,celtic_english,3009
59555,1,1294,1795,INFOFLEX A/S,2,1,2588,48,57.765,0.325,0,0.032,0,99.956,0.01,0,0,White,85.045,Male,None,6.1678915,-4.125369,7.7554374,93.215,0,6.785,0,2.297,11.338,5.941,7.754,80.468,nordic,3008
9199,2,699,2133,Evidian - Atos Cyber Security,1,1,699,58,65.428,1.182,0,0.001,0,99.988,0.01,0,0,White,89.861,Male,None,4.1259947,2.9790406,-5.2132792,100,0,0,0,9.937,9.263,1.055,33.541,90.444,european,3007
32301,1,92,1004,Microsoft,1,1,92,44,59.007,1.156,0.303,3.071,0.001,96.622,0.002,0.001,0.001,White,93.584,Male,None,5.4688687,-1.7177331,-0.10485023,0.004,0,99.996,0.001,0.69,2.946,1.413,6.269,88.986,celtic_english,3004
51638,1,1826,792,"Euroinfosys, India (now Tectura)",1,1,1826,42,48.251,5.965,0.284,3.498,0.017,95.715,0.439,0.031,0.017,Black,0.047,Male,None,4.658817,8.023923,-28.152058,59.863,0,40.067,0.069,2.808,51.715,3.34,2.302,10.895,south_asian,3003
8756,1,762,1492,US West Telecommunications,1,1,762,51,50.645,3.657,0.001,0,0,0.024,99.975,0,0,White,84.744,Male,None,4.594193,-4.149203,7.5236487,99.934,0,0,0.065,3.382,6.466,0.306,60.216,36.686,european,3002
55035,1,1065,2160,Honeywell,1,1,1065,30,40.449,0.365,17.041,3.475,0.636,34.028,13.655,0.907,30.259,White,18.717,Male,Normal,-3.8189523,-6.6887136,19.992357,42.765,3.622,19.807,33.806,95.182,1.371,0.875,92.619,84.929,south_asian,3001
11883,1,1096,2007,EDS,1,1,1096,42,57.084,0.294,0,0.026,0.001,99.97,0,0,0.002,White,90.066,Male,None,7.5809717,5.2036295,-4.013806,0,0,100,0,13.097,3.006,1.166,54.939,97.063,celtic_english,2992
31543,1,793,244,dgm (now APD),1,1,793,29,75.226,0.374,0.025,0.033,0.025,99.429,0.144,0.135,0.21,Asian,75.607,Female,None,9.060332,1.8647057,-10.226612,0,0,100,0,1.211,4.518,82.09,3.274,92.823,celtic_english,2991
666,1,3592,2222,Microsoft,1,1,3592,25,65.981,94.096,0.034,0.133,0.297,0.034,32.859,0.034,66.607,Asian,0.006,Male,Normal,-8.504112,-3.5137212,-43.81831,0,0,100,0,0.824,14.091,76.35,1.033,0.536,celtic_english,2989
61452,1,702,396,Istante Software - An Oracle Company,1,1,702,40,46.789,2.216,0.039,0.001,0.337,99.618,0.001,0.001,0.002,Asian,93.395,Female,None,4.5221515,6.6348796,0.46072698,0.021,0,99.979,0,2.539,3.595,18.211,4.667,98.576,east_asian,2987
44865,1,243,458,KGISL,1,1,243,44,50.402,0.114,0.001,0.001,0.001,99.567,0.362,0.001,0.068,White,91.954,Male,Normal,-9.647325,2.2889485,-0.5888417,10.274,0,83.813,5.913,73.844,2.039,2.818,13.36,84.237,south_asian,2983
5819,1,2009,1583,Interval Research,1,1,2009,53,55.488,1.107,0.091,37.069,0.008,62.763,0.031,0.029,0.008,White,0.006,Male,Normal,6.288264,2.8267071,-30.856724,0.814,1.996,0,97.19,43.555,93.716,0.517,39.69,2.291,celtic_english,2979
23920,2,489,2372,"e-software, Inc.",1,1,489,49,52.197,0.362,0.001,0.001,0.024,96.153,3.818,0.002,0.001,White,90.443,Male,Normal,2.7284975,-1.9338757,5.3665013,100,0,0,0,26.372,4.141,1.063,36.013,50.312,european,2977
2019,1,487,395,Anspire Agency™,1,1,487,26,74.957,1.229,0,0,0,99.83,0,0.17,0,White,86.089,Male,None,-0.6427148,-15.256487,8.25745,0,0,99.998,0.002,28.384,33.949,4.454,77.805,98.524,south_asian,2974
54128,1,214,1339,Digital Equipment India,1,1,214,53,66.369,1.056,0.007,0.007,0.007,0.046,0.219,0.007,99.708,Asian,0.006,Male,None,-15.101728,-19.227888,54.007084,3.622,0,0,96.378,0.796,2.12,75.893,1.662,22.604,south_asian,2973
19019,1,519,3621,PwC,1,1,519,53,59.12,0.347,0,0,0,99.998,0,0.001,0,White,93.334,Female,None,5.4863753,0.78871495,-0.956626,0,0,100,0,2.859,0.716,13.192,8.891,98.418,celtic_english,2967
19930,1,1035,669,Microsoft,1,1,1035,45,67.585,0.166,0,0.001,0,99.987,0,0.011,0,White,62.112,Male,None,5.6466217,0.6728716,13.817805,0,0,100,0,2.202,2.338,18.235,33.486,92.297,south_asian,2965
21721,1,759,396,Vantive Corporation,1,1,759,64,56.49,5.233,0.064,93.897,0.033,2.205,3.767,0.017,0.017,White,86.792,Male,None,1.6945733,0.08568297,6.7067175,0.227,0.003,0.001,99.77,6.061,7.842,8.188,3.067,5.95,european,2964
38522,1,640,731,The Walt Disney Company,1,1,640,47,33.385,99.552,0.056,12.146,0.056,7.288,73.934,6.466,0.056,White,0.006,Male,None,-1.8543297,-10.578626,9.45766,99.736,0,0.264,0,2.219,2.481,0.909,30.105,8.215,european,2963
45596,1,1704,1064,Edusoft,1,1,1704,46,54.333,4.781,0.428,0.025,0.014,33.532,65.899,0.014,0.088,White,91.187,Male,None,4.857021,-6.184022,-2.4057581,98.278,0,0,1.722,22.511,30.244,0.502,74.986,20.525,european,2956
11982,1,516,700,Motorola Mobility (a Lenovo Company),1,1,516,46,37.936,0.01,0.024,0.015,0.069,99.433,0.158,0.015,0.286,White,94.857,Male,Normal,-0.38351429,-3.8800077,0.21933956,99.999,0,0.001,0,0.126,2.931,34.725,1.681,62.42,south_asian,2955
27795,1,579,1706,Hewlett Packard Enterprise,1,1,579,55,54.147,0.386,0.138,10.038,1.568,11.582,75.754,0.114,0.805,White,91.004,Male,None,4.4880304,-1.5630945,4.3421063,99.99,0,0.01,0,4.966,2.366,13.233,2.687,6.529,muslim,2954
27723,1,1095.5,762,Microsoft,2,1,2191,57,55.379,2.348,0,0,0,99.993,0.002,0.004,0,White,82.253,Male,None,7.9681306,-0.52174103,7.9504213,11.124,0.485,87.592,0.799,0.569,1.964,6.408,1.61,77.073,european,2953
24836,1,762,1035,Whatever Communications,1,1,762,52,73.027,0.297,0.003,0.001,0.056,99.916,0.001,0.022,0.001,White,94.285,Male,None,3.3453867,-2.7348201,-0.18958896,0.004,0,99.996,0,0.876,1.673,1.27,11.744,87.481,celtic_english,2947
21075,2,700,2800,CIBC,4,1,2800,53,38.291,1.762,1.696,15.521,22.739,59.854,0.04,0.11,0.04,White,30.228,Male,None,1.9536715,1.8370945,-18.378735,0,0,99.997,0.003,0.218,6.797,12.356,8.605,86.254,celtic_english,2941
50920,2,821,3591,VT Group,1,1,821,48,55.05,1.16,0,0,0,100,0,0,0,White,90.928,Male,None,3.6032145,-8.898187,4.453835,0,0,100,0,4.296,1.033,1.072,16.194,98.587,celtic_english,2933
15708,1,1095.5,1280,Microsoft,4,1,4382,42,79.612,1.079,0,0,0,99.974,0.001,0,0.024,Black,92.984,Male,None,7.121221,-4.0795507,0.25031874,0,0,100,0,0.354,2.392,10.594,4.211,98.32,european,2932
38971,1,456,730,Impsat Fiber Networks,1,1,456,58,48.118,0.382,0.659,1.412,1.608,5.787,2.094,81.358,7.082,White,28.405,Male,None,-2.6689348,-4.229798,18.681778,99.947,0.003,0.001,0.049,16.48,6.276,4.411,47.468,47.889,hispanic,2930
19113,1,198,2283,Microsoft,2,1,396,20,82.773,0.788,0.004,0.004,0.004,43.232,51.435,0.167,5.155,Asian,88.14,Male,None,7.555576,-5.372414,5.403332,26.72,0.002,68.658,4.62,1.817,1.696,81.78,6.707,91.016,celtic_english,2926
31581,1,1461,213,Microsoft,1,1,1461,54,52.948,1.168,0.062,0.014,0.014,45.527,54.288,0.014,0.08,White,91.137,Male,None,1.88128,-1.5036103,4.7320714,99.974,0,0.001,0.025,2.165,2.516,6.478,6.965,17.94,celtic_english,2922
5534,2,61,548,Eti,1,1,61,42,50.683,1.502,0.005,0.032,0.111,99.729,0.009,0.106,0.008,White,90.841,Female,None,7.092897,3.0152283,-3.061709,0,0,100,0,4.51,1.068,3.572,15.059,98.813,east_asian,2921
429,1,1096,121,PureAtria,1,1,1096,43,69.713,1.386,0,0.001,0,0.01,99.989,0,0,White,91.204,Male,None,5.872802,0.8884733,-3.2742023,100,0,0,0,4.055,6.859,5.267,1.117,36.692,south_asian,2919
13574,1,91,1035,Frost & Sullivan,1,1,91,24,82.813,0.105,0.014,0.007,0.007,2.25,95.542,0.007,2.173,Asian,1.075,Female,None,6.505996,-6.1111717,25.426369,1.412,0,98.551,0.037,6.433,6.384,86.041,5.297,12.394,east_asian,2918
8255,1,92,425,OGERO Telecom,1,1,92,25,61.188,99.064,0.16,0.009,0.009,15.983,83.798,0.009,0.031,White,0.006,Male,None,3.6652117,6.7529683,0.13102266,99.995,0,0.003,0.002,23.145,7.914,1.555,5.273,58.547,muslim,2914
49919,1,518,1430,"Capital Networks Pty Ltd, Canberra, Australia",1,1,518,48,66.399,0.032,0,0,0,99.998,0,0,0.001,White,84.161,Male,None,12.66444,-3.6222038,5.455489,0,0,100,0,0.836,2.265,4.757,31.774,98.523,celtic_english,2906
13491,1,334,182,WebMasters at FAST - NUCES KHI,1,1,334,26,61.208,15.615,0.149,1.405,0.149,18.463,25.043,49.42,5.371,Asian,18.084,Male,Normal,0.8432551,-0.54514617,18.982378,89.576,0,10.424,0,1.458,14.152,10.818,0.529,9.998,south_asian,2905
60869,1,1065,700,JOVACO Solutions Inc.,1,1,1065,53,73.164,0.838,0.001,0.001,0.488,99.43,0.001,0.074,0.005,White,89.284,Female,None,1.2626288,-11.21687,6.43599,0.001,0,99.999,0,1.613,3.314,80.465,3.088,99.41,european,2903
47421,1,122,700,MAQ Software,1,1,122,39,69.462,8.36,0.604,0.021,0.049,68.531,30.751,0.021,0.021,White,81.526,Male,None,9.104651,-3.5761225,-6.2028728,89.956,0.419,5.844,3.78,3.516,6.505,5.306,8.776,22.508,hispanic,2900
35397,1,365,1157,UST Global,1,1,365,43,60.825,0.792,0.008,0.008,0.008,7.221,87.74,0.768,4.246,White,3.918,Female,Dark,21.115515,-12.011184,21.522348,0,0,99.996,0.004,98.278,5.068,0.476,21.057,35.948,south_asian,2894
30783,1,365,184,Pocketbook-global,1,1,365,29,68.361,0.302,0.01,0.498,0.01,73.879,24.944,0.6,0.058,White,89.075,Male,None,-6.846029,-2.5947113,5.1483974,100,0,0,0,2.632,6.302,36.346,1.44,33.377,european,2893
3567,1,1065,1430,Cell Network Italy,1,1,1065,37,52.588,0.307,0.001,0,0,99.999,0,0,0,White,60.62,Male,None,8.136863,10.619148,13.597975,0,0,100,0,5.59,5.539,6.179,3.694,88.288,nordic,2883
36706,1,273,1735,Kapellman,1,1,273,40,49.734,5.75,0,0,0,0.176,99.821,0.001,0.001,Asian,75.514,Male,None,-2.3774257,-4.829135,10.69263,99.994,0,0.002,0.003,1.604,10.951,11.231,3.303,9.191,hispanic,2876
29570,1,61,31,National Telecommunication Corporation,1,1,61,26,69.427,3.129,0.001,0,0,99.992,0.005,0,0.002,Black,87.6,Male,None,7.048473,-6.488517,5.2825646,4.313,0.809,0,94.878,4.515,1.163,50.463,1.182,80.24,muslim,2873
24200,1,212,1341,Microsoft,1,1,212,57,33.093,8.575,0.036,0.002,0.017,99.566,0.371,0.005,0.002,White,89.15,Male,None,5.05987,-3.722291,2.851335,3.135,0.009,95.834,1.023,0.998,1.606,0.873,37.408,98.277,celtic_english,2871
54947,1,2861,730,IBM,1,1,2861,28,64.918,0.363,0.002,0.003,0.15,99.812,0.029,0.002,0.002,Asian,89.242,Male,None,11.026262,-10.593866,2.761506,22.123,0,0.001,77.876,0.867,3.579,6.289,4.47,84.327,east_asian,2870
34038,1,685,1156,Microsoft,2,1,1370,44,46.892,0.774,0.015,0.072,0.208,99.609,0.015,0.016,0.065,White,89.062,Female,None,6.729758,-10.172925,5.0648875,0,0,100,0,81.99,6.247,0.96,74.899,96.18,celtic_english,2869
