,avg_n_pos_per_prev_tenure,avg_pos_len,avg_prev_tenure_len,c_name,n_pos,n_prev_tenures,tenure_len,age,beauty,blur,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise,ethnicity,face_quality,gender,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_mask,mouth_open,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain,smile,nationality,n_followers
8844,1,792,2069,DDB Mudra Group,1,1,792,52,54.222,0.796,0.004,0.025,0.003,99.835,0.126,0.006,0.001,White,91.416,Male,None,8.667081,-2.799383,1.770385,0.529,1.407,0,98.065,11.219,0.934,2.441,3.628,34.945,south_asian,530566
47398,1,2130,853,Apple,1,1,2130,53,45.866,1.416,0.009,0.049,0.009,94.549,0.04,0.009,5.334,Asian,85.454,Male,Normal,-0.013681722,-8.691859,8.60054,0,0,97.99,2.01,3.573,1.931,10.705,9.627,33.405,east_asian,427316
33334,1,243,1461,UserLand Software,1,1,243,39,71.752,0.032,99.982,0,0,0.016,0.001,0,0,White,81.329,Female,Normal,18.993986,-4.636102,-0.031372767,0,0,0,100,17.871,30.243,56.001,6.837,44.863,celtic_english,193694
42949,1,397,1126,TeleMinder,1,1,397,39,55.058,0.601,0,0,0,0.001,99.995,0,0.004,White,20.201,Male,None,-4.6166553,-8.375153,19.686584,96.13,0,3.868,0.001,28.49,1.188,6.22,31.641,6.992,celtic_english,82755
61697,1,212,3684,Microsoft,1,1,212,38,55.374,0.347,0,0.04,0,99.945,0,0,0.013,White,79.117,Male,None,8.723677,7.085144,-9.284973,23.337,0.001,8.952,67.709,2.596,6.073,2.404,19.162,53.112,jewish,50370
23906,2,791,1033,Microsoft,1,1,791,46,55.396,3.075,0.003,0.021,0.004,18.908,80.952,0.003,0.109,White,90.089,Male,None,9.30517,-6.917613,1.9937313,99.787,0.007,0.156,0.05,82.969,2.086,2.294,81.844,43.231,south_asian,38621
60930,1,700,2891,"Oki Data Americas, Inc.",1,1,700,54,58.479,0.354,0.001,0.224,0.085,99.687,0.001,0.001,0.001,White,90.501,Male,Normal,5.2654924,3.5523846,-4.5489273,0,0,100,0,15.554,16.678,0.449,60.074,87.169,celtic_english,32686
22836,1,1612,853,Aristocrat,1,1,1612,43,66.67,1.18,0.021,19.422,0.692,78.499,0.384,0.226,0.756,Asian,68.686,Female,None,14.209223,8.085999,-9.882611,75.49,0,24.486,0.025,1.07,2.906,9.412,2.158,73.518,hispanic,31656
34934,1,2160,1065,SANYO Logistics Corp.,1,1,2160,56,56.419,1.322,0.001,0.022,0.001,99.964,0.001,0.001,0.01,White,65.893,Male,None,3.1478496,-20.362526,13.37493,0.003,0,99.995,0.002,13.306,12.091,2.082,13.253,91.935,celtic_english,30914
28247,1,1795,1430,NGP,1,1,1795,49,56.71,10.846,0.014,31.956,0.081,27.057,40.803,0.075,0.014,White,77.229,Male,None,-5.240045,-11.800229,8.44133,100,0,0,0,2.719,21.281,8.067,3.417,74.586,celtic_english,28468
60975,1,700,577,Microsoft,1,1,700,27,82.886,0.822,0,0,0,0.06,99.755,0.185,0,White,80.826,Male,None,12.462632,10.81942,6.9849772,86.515,0.321,2.188,10.976,3.058,7.437,82.395,4.617,8.136,muslim,25131
59376,1,852,305,TCS,1,1,852,29,69.39,1.114,0,0,0,0.001,54.857,45.139,0.002,White,89.588,Male,None,2.3579075,1.3800498,-5.910862,99.999,0,0.001,0,73.742,1.836,0.908,63.302,2.199,south_asian,24567
1355,1,365,2618,CallidusCloud,1,1,365,47,39.398,2.244,1.3,0.054,0.016,94.969,0.016,3.628,0.016,White,82.292,Female,Normal,-4.4492817,-11.0709505,-8.919632,0.002,0,99.997,0.001,0.8,1.311,33.663,10.696,98.462,hispanic,23414
9576,1,182,273,Zebronics,1,1,182,38,57.429,1.109,0.038,0.042,0.017,61.96,28.691,0.017,9.236,White,28.01,Female,Normal,-2.4103627,-3.7218323,18.694328,100,0,0,0,86.406,86.867,0.201,72.378,10.974,south_asian,22159
48740,1,547,608,Antal International,1,1,547,34,64.888,59.832,0,0.002,0,99.954,0,0.043,0,White,0.006,Female,None,3.3633466,-3.4410663,-0.41624537,0,0,100,0,0.216,2.216,63.413,6.721,98.66,european,21247
28030,1,577,365,Microsoft,1,1,577,32,44.956,0.366,0.286,1.158,0.008,98.478,0.008,0.052,0.008,White,90.467,Female,None,0.55106133,1.9765468,-5.8312407,100,0,0,0,4.38,4.024,8.402,17.515,67.275,south_asian,20536
15395,1,1642,334,Stryde Consulting,1,1,1642,44,45.379,0.341,0.879,0.044,0.121,98.476,0.046,0.285,0.149,White,88.643,Female,None,-1.7611847,-9.688915,6.882283,0.001,0,99.998,0.001,21.38,2.591,9.072,4.049,85.388,south_asian,20413
33280,1,151,762,Microsoft,1,1,151,39,82.816,1.202,0.001,0.002,0.026,99.946,0.022,0.001,0.003,White,91.211,Male,None,8.846083,-0.6341856,1.747024,58.717,0.001,0.534,40.748,1.204,4.105,33.79,2.934,50.413,south_asian,20311
39535,1,92,911,BAP Global Solutions,1,1,92,45,55.039,2.506,0.016,7.959,0.056,89.633,0.24,0.186,1.91,White,92.274,Male,Normal,1.062914,2.4269621,-3.2863243,0.089,0.011,99.571,0.33,26.316,5.123,0.478,14.277,76.486,european,19155
53624,2,608,1641,Ramp Technology Group,1,1,608,50,55.428,0.055,0.007,0.036,0.007,99.854,0.007,0.058,0.032,White,4,Male,None,6.7239046,-2.5460525,23.37438,100,0,0,0,49.63,0.983,0.96,79.001,51.308,south_asian,18167
42617,1,1248,1826,Microsoft,2,1,2496,52,36.367,1.067,0.121,0.002,0.05,99.823,0.001,0.004,0.001,White,87.886,Male,Normal,8.091598,-7.561416,5.274278,0,0,100,0,0.567,43.29,4.932,3.651,95.447,celtic_english,17975
44951,1,334,1430,TAC,1,1,334,51,39.183,0.124,0,0,0,100,0,0,0,White,93.824,Female,None,4.9577622,10.186861,0.4232668,0.005,0,99.99,0.005,2.077,99.564,7.494,67.001,85.658,celtic_english,17857
42431,1,2039,212,Cpl Jobs Ireland,1,1,2039,55,63.488,0.822,0.044,0.192,0.014,99.027,0.087,0.621,0.014,Asian,73.392,Male,None,16.464087,-8.789982,7.1709466,0.001,0,99.999,0,8.753,3.329,0.303,50.269,93.965,celtic_english,17430
47912,1,731,1584,Senior Solution,1,1,731,43,59.694,0.805,0,0,0,99.999,0,0,0,White,85.247,Female,None,5.4446692,-10.9158745,7.750963,0,0,100,0,26.844,2.505,1.607,59.825,94.265,european,17101
798,1,1064,2160,GE,1,1,1064,42,60.608,1.647,1.582,12.801,0.055,82.825,1.801,0.099,0.837,White,94.168,Male,Normal,-0.8433516,-4.6347885,-0.7860788,90.779,0.483,6.933,1.805,3.854,12.028,5.532,17.305,30.886,celtic_english,17054
33683,1,1066,548,Heidrick & Struggles,1,1,1066,39,46.078,1.522,4.875,0.154,86.881,7.913,0.059,0.059,0.059,Asian,90.367,Female,None,7.3677564,0.17405605,3.4102879,0.025,0,99.975,0,9.138,1.894,22.219,6.978,92.656,east_asian,16736
14086,1,365,700,Microsoft,1,1,365,46,65.893,97.933,0.031,0.031,0.031,20.22,24.196,55.434,0.057,White,0.006,Male,None,3.0781264,29.024837,-47.37313,76.276,2.358,9.601,11.765,5.325,4.072,7.89,3.349,0.191,celtic_english,15915
57839,1,547,944,Idea Inc.,1,1,547,52,53.051,22.102,1.765,0.074,0.074,8.971,88.779,0.074,0.263,White,15.376,Male,None,-7.997754,11.027463,18.105728,99.999,0,0.001,0,15.348,27.966,0.481,32.32,4.596,european,15593
19953,1,243,1249,United Nation Development Program,1,1,243,47,67.01,0.215,0.029,2.376,0.009,96.662,0.897,0.017,0.009,White,91.378,Male,None,4.6641374,20.012007,3.9651022,99.999,0,0,0.001,0.816,18.878,1.798,2.514,57.283,hispanic,15569
35671,1,181,1918,Ad Astra Consultants,1,1,181,30,58.857,1.104,0.026,0.048,1.072,8.002,86.08,0.026,4.745,White,92.547,Female,None,3.8108144,0.6953479,-2.5969915,99.989,0,0.011,0,0.694,6.697,52.941,3.449,37.847,south_asian,15379
34164,1,1005,914,Ad Astra,1,1,1005,38,38.565,44.325,0.021,67.75,0.021,30.819,0.605,0.031,0.752,White,27.712,Male,Normal,2.4986248,-4.905936,-0.04940276,97.611,0.042,0.052,2.294,45.118,3.822,0.668,48.066,39.803,south_asian,15359
10524,1,975,792,3Com,1,1,975,60,50.563,0.394,0.172,0.014,0.001,99.469,0.001,0.001,0.342,White,91.487,Female,None,7.8433833,0.25083208,2.343396,0,0,100,0,3.675,2.532,59.534,7.289,92.028,celtic_english,14847
15766,3,152,1038,Ahram Canadian University,2,1,304,47,70.585,8.154,0,0.393,0.001,99.603,0,0.002,0.001,White,88.738,Male,None,3.4910305,0.9238472,3.9644039,3.607,0,96.179,0.214,0.142,4.638,23.15,0.965,97.228,muslim,14748
39688,1,516,975,Systematics Ltd. Solutions at work.,1,1,516,36,68.881,0.233,0.002,0.002,0.002,53.564,46.362,0.002,0.065,Asian,92.617,Male,None,-0.009493109,-2.27742,3.9181798,99.986,0,0.009,0.005,4.3,3.37,17.044,15.977,56.859,european,14297
52074,4,639.5,3378,Nokia,2,1,1279,51,44.407,0.475,0.003,0.001,0.001,99.955,0.039,0.001,0.001,White,93.614,Male,None,4.0161443,2.728634,1.1266004,0,0,99.999,0.001,1.122,3.794,40.438,0.923,75.61,african,14067
43502,1,760,2222,Aithent,1,1,760,39,71.962,0.784,0.019,86.116,0.016,12.132,0.177,0.011,1.529,White,93.778,Male,None,3.45043,10.195875,-0.9398707,0.748,0,6.118,93.134,12.262,2.516,15.87,19.653,98.091,south_asian,13909
4514,1,1064,1065,"Career Contacts (Toronto, Canada)",1,1,1064,56,41.393,0.438,0,0,0,99.999,0,0,0,Asian,74.248,Female,Normal,-7.6236596,-11.080561,10.962612,0.603,0,99.388,0.008,10.398,39.74,2.159,93.063,84.201,celtic_english,13792
52063,1,1796,1217,Atlantis,1,1,1796,46,55.302,0.285,0.001,0.067,0.003,99.915,0.001,0.001,0.012,Asian,91.518,Male,None,8.889219,-0.85622734,-1.7017211,0.004,0,99.996,0,1.085,10.186,5.813,5.649,82.632,celtic_english,13542
54415,1,1066,1430,"Robert E. Landweer & Co., Inc.",1,1,1066,58,43.6,1.167,0,0.001,0,99.989,0,0.01,0,White,91.824,Male,None,5.742584,-6.2711225,2.697917,0,0,100,0,2.341,4.651,1.637,69.419,98.506,celtic_english,13516
27575,1,1096,428,Nortel Networks,2,1,2192,56,45.912,0.574,0.004,0.012,0,99.982,0,0,0.001,White,93.529,Female,None,4.08849,2.860607,1.200509,0,0,100,0,1.026,1.954,28.761,17.137,97.715,european,13464
3024,1,213,1826,SapientRazorfish,1,1,213,43,63.945,0.255,0,0.001,0,99.999,0,0,0,Black,3.267,Female,None,-2.0200353,-4.433875,23.901634,0,0,100,0,4.967,11.893,2.354,0.875,87.73,east_asian,13457
20379,1,1826,4656,"ITQAN, UAE",1,1,1826,44,79.336,0.387,0.007,1.569,0.023,7.59,90.795,0.007,0.007,White,90.155,Male,None,8.385649,-5.332348,3.4993484,100,0,0,0,2.511,6.059,58.002,3.969,1.578,muslim,13405
46329,1,1003,974,Global Brands Group (GBG),1,1,1003,43,60.482,0.366,0.015,0.004,0.015,99.818,0.124,0.007,0.016,White,71.145,Male,None,5.029109,4.469919,-12.22301,0,0,99.882,0.118,51.794,2.849,0.853,9.295,86.158,muslim,13085
25188,1,62,700,Club Med,1,1,62,60,47.522,1.016,0,0,0,100,0,0,0,White,90.448,Male,None,0.60187966,-6.839151,5.6555166,0.004,0,99.996,0,0.303,43.859,10.463,0.542,95.987,jewish,13065
50615,1,731,518,ITIL - Group Usha,1,1,731,33,50.226,56.652,0.084,0.084,0.666,3.724,90.766,1.941,2.735,Asian,0.006,Male,Normal,-3.2196536,-3.8363984,5.303273,99.811,0,0.188,0.001,0.285,99.929,8.519,47.999,15.328,south_asian,13032
23913,1,365,1400,GE,1,1,365,57,42.887,1.186,0.059,1.441,0.001,98.494,0,0.004,0,White,92.307,Male,None,5.7656417,-4.0763507,2.0510988,0.001,0,99.999,0,0.126,14.147,6.481,4.203,74.086,south_asian,12977
21419,1,3106,1430,Universidad ICESI,1,1,3106,36,64.214,3.006,0.001,0.002,0,99.97,0.026,0.001,0,Asian,0.603,Male,Normal,-0.54251766,0.4830445,-26.1865,0.005,0,99.991,0.004,0.768,21.993,2.074,4.164,73.987,hispanic,12706
26666,1,943,1064,Qlik,1,1,943,25,52.347,4.78,0,0.001,0.001,99.647,0.349,0,0.002,Asian,88.995,Male,None,4.5381036,-0.6887601,-4.637438,0.104,0,99.878,0.018,0.769,10.032,18.654,6.057,68.861,east_asian,12522
14489,1,690,853,Intel Corporation,3,1,2070,31,64.367,0.063,0.001,0.001,0.001,99.963,0.001,0.03,0.002,Asian,0.006,Male,None,-13.213917,-15.41183,36.645683,0,0,100,0,2.536,4.689,21.816,1.503,33.077,celtic_english,12464
58765,1,638,700,Sysplus,1,1,638,45,52.706,0.276,0,0.001,0,99.941,0.058,0,0,Asian,70.677,Male,Normal,5.719664,-2.1156583,12.211381,0,0,100,0,1.809,3.554,2.62,21.605,89.803,east_asian,12387
41547,1,2162,273,Olivetti,1,1,2162,63,43.685,18.331,0,0,0.001,99.493,0.503,0.002,0,Asian,79.981,Male,None,-2.2638671,6.2104063,-5.4861965,99.99,0,0.01,0,9.792,4.724,11.213,26.234,80.572,hispanic,12342
52018,1,1004.6667,668,Mastercard,3,1,3014,59,63.618,0.669,0.001,0.002,0.001,99.581,0.276,0.135,0.003,White,91.676,Male,Normal,-2.0025363,-1.7389946,4.3317103,99.994,0,0.006,0,0.173,1.558,2.254,5.538,15.566,celtic_english,12315
12925,1,913,212,Hewlett Packard Enterprise,1,1,913,27,64.711,98.858,0.002,0.002,0.071,0.018,98.357,1.548,0.002,White,0.006,Male,None,-4.6904964,5.295398,-16.993284,22.674,0,7.715,69.611,7.363,3.014,31.437,5.728,8.722,european,12174
53909,1,1917,1947,SITA,1,1,1917,41,49.015,48.678,0.75,0.203,0.203,8.442,6.631,83.53,0.241,White,1.071,Male,None,-4.931358,-4.57509,16.46336,98.963,0,1.035,0.002,21.493,2.687,2.072,19.966,1.269,muslim,12117
11631,1,1064.75,1064,Microsoft,4,1,4259,34,47.357,1.128,88.025,0.029,0.029,7.227,4.344,0.316,0.029,White,93.529,Male,None,-5.692159,-5.4047923,-0.095219664,99.998,0,0.002,0,2.036,2.299,9.478,3.527,41.591,celtic_english,12023
24433,1,2191.3333,730,Microsoft,3,1,6574,60,40.777,0.362,0.103,0.012,0.038,25.945,73.879,0.012,0.012,Asian,92.839,Male,None,-1.6709442,-7.63121,3.189086,0.001,0,99.999,0,1.986,1.999,7.776,27.128,46.162,celtic_english,11912
43788,1,1065,1795,PT. Swadharma Duta Data,1,1,1065,46,53.3,0.033,0.075,1.931,0.075,69.717,23.112,4.643,0.448,White,93.289,Male,Normal,-3.9513028,-13.0489855,-1.8883586,100,0,0,0,2.909,2.461,2.649,16.468,31.361,east_asian,11627
40645,1,1582,1795,L3 Consulting,2,1,3164,51,56.305,16.496,0.007,0.007,5.338,94.231,0.007,0.037,0.372,Black,2.33,Female,None,-3.1462958,-11.03991,23.772783,99.999,0,0.001,0,5.978,7.529,3.669,9.019,20.92,celtic_english,11587
36358,1,638,31,Corel Corporation,1,1,638,47,52.856,0.481,0,0.002,0,89.208,10.781,0,0.007,White,94.175,Male,None,3.3394408,-9.529519,0.34173226,100,0,0,0,2.954,21.296,13.191,5.676,25.006,european,11548
59836,1,761,1552,UnitedHealth Group,1,1,761,44,78.151,1.092,0,0,0,99.999,0,0,0,White,14.03,Male,None,10.481159,-11.970649,20.173008,0,0,100,0,1.626,3.257,6.204,3.452,91.868,hispanic,11463
26923,1,486,1127,Katpro Technologies,1,1,486,40,61.477,0.419,0.034,0.034,0.034,3.498,15.448,32.123,48.83,White,78.466,Male,None,-14.909209,1.5063362,6.54061,100,0,0,0,5.854,2.316,40.589,5.465,28.002,south_asian,11236
54522,1,731,426,Mercy Medical Clinton,1,1,731,37,42.367,0.371,0.005,0,0,99.994,0,0,0.001,White,57.686,Female,Normal,5.1157146,10.539648,-14.565839,0,0,99.996,0.004,58.842,6.037,1.833,17.425,67.11,celtic_english,11182
18901,2,1218,5054,Microsoft,1,1,1218,48,34.745,0.951,0,0,0.004,99.995,0,0,0,White,84.412,Male,None,0.054501493,-2.3350456,9.134655,0,0,100,0,10.451,18.716,0.681,58.643,99.717,celtic_english,11149
46366,2,1461,5052,"Holmes Institute, Australia",2,1,2922,59,54.002,7.784,0.005,0.001,0.021,99.967,0.002,0.002,0.001,White,71.383,Male,None,12.898998,-3.0281847,8.331311,0,0,100,0,98.242,2.046,0.748,93.545,98.385,celtic_english,11067
2420,1,578,2372,XL Capital,1,1,578,25,43.655,98.836,0.03,2.841,1.65,94.093,0.03,1.326,0.03,White,0.006,Male,None,-3.6222875,2.912613,2.3626118,0.188,0,86.567,13.245,3.094,2.811,18.303,1.757,58.763,south_asian,10999
27588,1,942,1065,Tech Data,1,1,942,35,43.007,2.353,12.239,6.679,0.303,72.71,6.962,0.804,0.303,White,81.38,Male,Normal,9.4897,1.6054707,-7.755515,100,0,0,0,25.942,85.123,0.413,97.392,82.079,celtic_english,10884
49908,1,579,1369,Microsoft,1,1,579,43,62.616,8.744,0.028,14.821,3.12,81.302,0.023,0.682,0.023,White,54.117,Female,None,3.1459486,22.998846,-14.215714,0,0,100,0,11.498,3.862,3.592,2.429,68.905,muslim,10772
8526,1,427,2222,Indiabulls Housing Finance Ltd,1,1,427,42,68.386,0.239,0.219,42.028,0.041,0.041,57.465,0.041,0.165,Asian,0.006,Male,None,10.500204,-3.927245,-32.95531,92.231,0,0.001,7.768,4.008,4.246,13.054,4.867,1.697,hispanic,10755
20523,1,791.5,1003,Microsoft,6,1,4749,32,74.291,1.074,0,0,0,99.999,0,0,0,White,92.526,Male,None,7.780827,-3.744339,0.6048303,0,0,100,0,1.142,1.289,30.981,5.13,99.107,celtic_english,10671
44577,2,2616,3225,Microsoft France & HP France,1,1,2616,58,58.106,0.309,0.043,0.018,0.018,39.397,60.386,0.025,0.112,White,32.555,Female,Normal,-6.529583,24.64073,-17.789179,100,0,0,0,0.237,0.77,3.401,63.223,60.322,european,10623
60136,1,700,1158,NCR Corporation India Pvt. Ltd.,1,1,700,53,78.088,0.166,0.149,5.67,0.004,29.176,64.975,0.021,0.004,White,62.801,Male,None,5.361469,8.083429,13.74859,7.266,0,92.734,0,8.801,2.038,40.482,6.83,75.969,south_asian,10549
58847,1,577,578,Global Brand Private Limited,1,1,577,43,59.468,81.336,0,0,0.003,0,99.953,0.043,0,Black,0.006,Male,None,15.66169,7.8935366,-32.07654,100,0,0,0,0.99,29.047,35.453,1.238,13.337,muslim,10483
33100,1,153,700,ICICI OneSource,1,1,153,36,66.022,20.377,0.24,0.24,19.729,10.191,14.911,1.822,52.867,White,79.412,Female,None,6.3982944,-2.2315466,-3.3756287,99.997,0,0.001,0.002,4.558,4.999,1.265,51.217,20.662,south_asian,10463
18811,1,1157,578,Medacs Healthcare,1,1,1157,39,60.658,1.455,1.569,0.18,1.318,0.18,20.969,29.712,46.073,Asian,87.681,Male,None,3.4980233,1.5994158,-6.8029985,100,0,0,0,0.47,6.971,9.929,1.824,6.245,east_asian,10460
44314,1,1065,3256,Copley Systems Corporation,1,1,1065,59,62.799,78.186,0.606,10.187,0.236,87.123,0.528,1.258,0.062,White,0.006,Male,Normal,-2.8642704,1.5287622,29.577795,99.464,0,0.535,0,3.124,1.521,1.955,57.1,6.033,celtic_english,10437
13797,1,1095,366,Select Computing,1,1,1095,43,49.864,0.192,0,0,0.007,99.987,0.001,0.003,0,White,11.179,Male,None,-2.8241935,-4.128385,21.430025,0.003,0,96.32,3.677,39.401,54.326,2.269,75.03,76.768,celtic_english,10329
17057,1,730,1066,Dishnet DSL Ltd.,1,1,730,52,66.777,3.19,6.296,0.001,0.001,0.001,93.698,0.001,0.001,White,3.532,Male,None,0.8898037,4.504828,-23.693977,94.89,0.003,2.824,2.283,34.226,6.836,2.97,12.395,2.032,south_asian,10236
3355,1,396,1430,SolutionWorks International,1,1,396,66,42.903,0.508,0.024,0.482,0.01,99.459,0.005,0.005,0.016,White,60.061,Male,Normal,8.791738,7.37693,-13.526546,0,0,100,0,8.397,12.099,1.475,21.282,34.745,celtic_english,9879
24505,1,2891,700,Avery Dennison Label and Packaging Materials,1,1,2891,51,65.503,0.367,0.005,0.001,0.001,99.992,0,0,0.001,White,91.731,Female,None,7.3923273,-5.9225225,2.2998424,0,0,100,0,3.279,7.494,30.382,2.298,99.516,european,9830
19561,1,931.2,1065,IBM,5,1,4656,59,43.346,1.436,0,0,0,100,0,0,0,White,94.172,Male,None,-2.6598601,-0.44563687,0.17746624,0.103,0,99.637,0.26,89.428,28.577,1.745,94.217,88.433,european,9726
47098,1,593.5,3348,Microsoft,2,1,1187,47,63.694,1.245,0,2.881,0,97.113,0.005,0,0,White,94.27,Male,None,-2.0843167,-4.5582204,0.30839413,0.005,0,99.964,0.031,0.661,9.746,50.282,1.316,76.921,celtic_english,9683
8982,1,518,851,InfoSERVER,1,1,518,52,52.714,1.117,0.001,0.244,0.001,99.753,0,0,0,White,92.889,Male,None,2.3613594,-1.4724704,2.6347444,0,0,100,0,1.195,2.438,17.041,10.106,95.786,hispanic,9637
53554,1,1369,1004,Aditi Technologies,1,1,1369,54,55.635,2.874,0.005,0.004,0.269,99.72,0,0.001,0,White,86.482,Male,None,-2.148413,7.7030873,-7.4080424,0,0,100,0,5.221,2.45,7.333,6.504,97.171,hispanic,9554
7686,1,1430,1216,Go4i.com,1,1,1430,44,54.562,0.089,0.152,89.402,3.11,6.2,1.032,0.052,0.052,White,6.022,Male,Normal,-5.3577185,-3.2221963,22.65953,0.001,0,99.999,0,44.634,7.891,1.352,43.561,9.239,south_asian,9481
24055,1,62,1126,NSW AMES,1,1,62,35,86.083,0.366,0.004,0.204,0.004,99.435,0.345,0.006,0.004,White,80.736,Male,None,7.0421896,-3.629176,9.232358,9.363,0,90.602,0.036,2.343,1.707,67.774,1.688,25.701,celtic_english,9421
11998,1,730,1247,Imperial Tobacco,1,1,730,48,61.673,1.157,0.003,0.003,0.144,97.982,0.001,1.866,0.001,White,61.658,Male,None,6.9780574,18.940014,13.532007,99.993,0,0.006,0,2.031,5.36,59.653,1.639,77.819,european,9374
53373,1,988.5,549,Raya Information Technology,2,1,1977,50,41.68,19.804,0.002,0.002,0.008,99.956,0.022,0.002,0.007,White,81.456,Male,None,0.4692844,7.543582,-4.438881,94.317,0.009,1.668,4.006,20.079,80.804,0.29,20.166,73.131,muslim,9370
4249,2,214,1309,Berlitz Corporation,1,1,214,41,67.3,0.231,0.002,0.004,0.003,99.977,0.002,0.012,0.002,Asian,78.874,Male,None,7.579078,-5.521764,9.7236395,0.015,0,99.984,0.001,0.272,2.947,59.853,1.225,90.636,east_asian,9335
22298,1,61,123,Saatchi & Saatchi,1,1,61,32,71.16,0.88,0.025,0.006,0.001,99.89,0.075,0.001,0.001,Black,90.795,Male,Normal,0.20884584,0.13626067,-5.484241,0.006,0,99.994,0,2.731,4.021,13.501,1.792,83.072,south_asian,9235
46980,1,1186,2160,Microsoft,1,1,1186,30,55.833,14.403,0.036,15.476,0.036,80.672,1.971,0.036,1.772,White,26.559,Male,None,9.242715,9.148335,-16.785288,99.991,0,0.009,0,27.74,4.692,8.827,9.35,39.176,european,9143
60243,1,914,730,Prudential Assurance,1,1,914,48,24.066,17.143,0.002,0.02,0.008,21.953,78.006,0.009,0.002,Asian,52.194,Male,None,6.496065,4.910801,-12.46208,80.86,0,19.14,0,24.725,92.863,0.331,99.806,37.916,celtic_english,9124
23716,2,59,2495,Sony Pictures Networks India,1,1,59,52,44.439,0.359,0,0.002,0,99.988,0.008,0.001,0,White,86.788,Male,None,6.6927843,9.65716,-6.684922,0,0,100,0,37.567,3.774,0.466,79.778,96.862,celtic_english,9096
38765,1,519,1095,Aptech,1,1,519,35,63.402,0.192,0.003,0.04,0.053,82.734,17.13,0.003,0.038,White,85.649,Male,Normal,6.4609513,-9.167124,7.4065986,99.65,0,0.135,0.215,84.228,2.763,0.27,97.64,77.049,south_asian,8979
40716,1,334,396,IBEX | Global,1,1,334,30,56.097,2.203,0.336,8.129,0.03,90.141,0.07,0.03,1.263,Black,87.368,Female,None,9.266206,-0.017112825,4.7413783,0,0,100,0,3.034,9.304,8.345,20.102,76.571,hispanic,8936
16542,4,92,517,Stottler Henke Associates,1,1,92,37,70.053,1.199,0.001,0,0,99.997,0,0,0.001,White,0.019,Female,None,0.5095363,-29.63178,28.502365,0,0,100,0,33.104,8.196,3.894,23.047,84.398,south_asian,8828
50360,1,1003,581,Fujitsu Global,1,1,1003,38,35.698,0.946,0.015,0.336,0.156,99.317,0.015,0.021,0.141,White,87.091,Female,None,5.843501,-8.574825,6.6341314,0.051,0,99.948,0,0.67,3.857,12.053,6.946,97.91,south_asian,8805
12300,1,1096,395,"AlphaCircuits, Inc",1,1,1096,44,60.305,0.386,0,0,0,100,0,0,0,White,89.299,Male,None,5.051199,-5.05061,5.5892553,0,0,100,0,0.764,3.686,6.987,6,98.554,european,8658
10789,1,461.8333,61,Microsoft,6,1,2771,33,61.831,0.363,0,0,0,100,0,0,0,Black,68.921,Male,None,2.1504705,-7.6176825,13.082654,0,0,100,0,2.148,3.942,12.312,1.185,82.207,muslim,8617
18732,1,790,1795,Electronic Arts (EA),1,1,790,54,47.131,0.364,0.001,0.012,0,99.983,0,0,0.003,White,85.095,Female,None,10.011854,-21.739014,6.3050876,0,0,100,0,5.687,4.303,4.743,22.973,99.384,european,8586
2712,1,395.5,61,Knorr-Bremse,2,1,791,38,58.004,0.35,0.003,0.009,0.032,99.929,0.003,0.004,0.021,White,82.231,Female,None,3.498173,-8.421372,9.525303,100,0,0,0,45.125,5.487,5.912,21.257,91.563,south_asian,8585
5328,1,1827,700,Various,1,1,1827,49,74.483,0.35,0,0,0,100,0,0,0,White,94.562,Male,None,0.8915104,1.1207595,-0.55822366,0,0,100,0,1.434,79.387,4.245,51.029,98.696,european,8516
50509,1,547,579,BabyCenter,1,1,547,60,53.859,68.179,94.759,0.001,0.001,5.233,0.002,0.001,0.003,Asian,0.006,Male,None,14.283802,-10.293258,21.321562,2.365,0.217,97.109,0.31,2.847,2.847,68.678,11.25,61.716,celtic_english,8490
26545,1,335,92,Softcell Technologies Limited,1,1,335,39,48.604,0.121,0.011,0.08,0.002,95.911,3.974,0.019,0.002,White,68.241,Male,None,8.552708,-9.683752,12.136018,16.6,0,83.4,0,18.944,16.677,0.875,37.879,85.868,south_asian,8310
58470,1,488,2284,Lexpertise Linguistic Software,1,1,488,67,33.822,1.058,0,0,0.006,99.994,0,0,0,White,93.319,Male,None,-2.793818,15.618561,1.8736061,0.075,0,99.925,0,0.412,9.836,5.48,1.837,62.498,celtic_english,8302
11823,1,1496.8333,1034,Microsoft,6,1,8981,47,67.74,21.023,0,0.001,0,99.999,0,0,0,White,74.748,Female,None,1.4053319,8.9193735,-6.679813,0.361,0,99.639,0,9.798,2.479,72.035,7.916,96.624,celtic_english,8285
48861,1,731,1673,Descartes Systems Group,1,1,731,45,51.606,0.104,0,3.792,0,96.199,0.005,0.001,0.001,White,94.12,Male,None,-0.98114556,-0.28938335,-1.5262005,99.921,0,0.079,0,4.725,1.226,0.993,83.43,74.135,european,8263
48822,1,853,455,Harvey Nash Group,2,1,1706,51,60.315,1.042,0.011,0.011,0.011,88.333,0.951,0.011,10.672,White,91.472,Female,None,8.605331,-7.4723887,1.6326773,64.372,0,35.623,0.005,1.354,1.503,12.186,13.712,44.444,celtic_english,8223
